wordid,lemma,synsetid,senseid,pos,lexdomainid,definition,lastmodifier,sumo
51299,oto,102853224,50302,v,0,ginagamit sa lupa para makarating sa malayo na lugar at sa loob ng mabilis na oras,1,None
51298,kotse,102853224,50301,v,0,ginagamit sa lupa para makarating sa malayo na lugar at sa loob ng mabilis na oras,1,None
51526,sasakyan,102853224,50366,v,0,ginagamit sa lupa para makarating sa malayo na lugar at sa loob ng mabilis na oras,1,None
51297,sunod,201998432,50067,v,0,"Sundan sa likuran, subaybayan",1,ListOrderFn
51296,halimaw,110329945,50066,n,0,Isang tao na walang puso,1,Human
51295,demonyo,110329945,50065,n,0,Isang tao na walang puso,1,Human
51296,halimaw,108686821,50661,n,0,ang panglimang simbolo ng sodyak na kung saan ang araw ay pumapasok mula hulyo 23 hanggang agosto 22,1,Region
51296,halimaw,110002477,50993,n,0,mabangis na hayop,1,Human
51295,demonyo,109661905,50570,n,0,isang malupit at brutal na tao,1,None
51295,demonyo,109542339,50994,n,0,mahiwagang nilalang na masama,1,CognitiveAgent
52082,masamang espiritu,109542339,50995,n,0,mahiwagang nilalang na masama,1,CognitiveAgent
60484,devil,109542339,61032,n,0,mahiwagang nilalang na masama,1,CognitiveAgent
51294,mali,300602378,50286,s,0,hindi tama ang gawain,1,None
51463,palpak,300602378,50287,s,0,hindi tama ang gawain,1,None
51294,mali,104854604,50064,n,0,Hindi magandang gawain,1,Prohibition
51293,sama,104854604,50063,n,0,Hindi magandang gawain,1,Prohibition
51294,mali,108409570,53418,n,0,isang republika sa hilagang kanlurang Aprika,1,None
53974,Republika ng Mali,108409570,53419,n,0,isang republika sa hilagang kanlurang Aprika,1,None
51292,indibidwal,102472293,50062,n,0,Nilalang na nagtataglay ng kakayanan alamin ang tama sa mali,1,Hominid
51291,tao,102472293,50061,n,0,Nilalang na nagtataglay ng kakayanan alamin ang tama sa mali,1,Hominid
51290,pag-gugrupogrupo,100031264,50060,n,0,Koleksyon ng tao,1,Group
51289,grupo,100031264,50059,n,0,Koleksyon ng tao,1,Group
51288,sustansya,100018827,50277,n,0,nagbibigay lakas at gumawa ng tissue,1,None
48375,pagkain,100018827,50276,n,0,nagbibigay lakas at gumawa ng tissue,1,None
51288,sustansya,100021265,50058,n,0,mga bagay na maaaring kainin,1,Food
48375,pagkain,100021265,46720,n,0,mga bagay na maaaring kainin,1,Food
51287,borloloy,103419014,50056,n,0,karagdagang piyesa o kagamitan sa damit,1,Clothing
48286,kasuotan,103419014,50057,n,0,karagdagang piyesa o kagamitan sa damit,1,Clothing
51286,katauhan,105510864,50236,n,0,katangian ng isang tao,1,None
51427,karakter,105510864,50235,n,0,katangian ng isang tao,1,None
51286,katauhan,100001740,50055,n,0,Pagiging isang kabuuan,1,Physical
51286,katauhan,301258617,53119,a,0,pagkakaroon ng porma o katangian ng tao kumpara sa mga hayop o mga diyos,1,Human
53777,pagkatao,301258617,53118,a,0,pagkakaroon ng porma o katangian ng tao kumpara sa mga hayop o mga diyos,1,Human
51285,sanghalamanan,100017222,50054,n,0,mga bagay na tumutubo sa lupa,1,Plant
50966,tanim,100017222,49680,n,0,mga bagay na tumutubo sa lupa,1,Plant
49306,flora,100017222,47712,n,0,mga bagay na tumutubo sa lupa,1,Plant
48306,halaman,100017222,46650,n,0,mga bagay na tumutubo sa lupa,1,Plant
48305,pananim,100017222,46649,n,0,mga bagay na tumutubo sa lupa,1,Plant
51284,papeles,106069783,50587,n,0,sulat na nagbibigay ng mga impormsayon,1,None
51283,dokumento,106069783,50586,n,0,sulat na nagbibigay ng mga impormsayon,1,None
51284,papeles,106470073,50053,n,0,Kahit anong bagay na naisulat,1,FactualText
51283,dokumento,106470073,50052,n,0,Kahit anong bagay na naisulat,1,FactualText
51284,papeles,113403331,57524,n,21,isinulat na salaysay ng pag-aari o obligasyon,1,Certificate
51283,dokumento,113403331,57523,n,21,isinulat na salaysay ng pag-aari o obligasyon,1,Certificate
48158,kasulatan,113403331,57525,n,21,isinulat na salaysay ng pag-aari o obligasyon,1,Certificate
51282,produkto,103076708,50051,n,0,"Personal na pag-aari, pwede gamitin bilang paninda",1,Product
51281,kalakal,103076708,50050,n,0,"Personal na pag-aari, pwede gamitin bilang paninda",1,Product
51280,palamuti,103169390,50049,n,0,Bagay na nilalagay bilang pampaganda,1,ArtWork
49118,dekorasyon,103169390,50048,n,0,Bagay na nilalagay bilang pampaganda,1,ArtWork
51279,paglalang,103129123,50047,n,0,Isang aksyon na nagdudulot sa paglikha ng isang bagay,1,Artifact
51278,gusali,104341686,50046,n,0,gusali o istrukturang naigawa o nabuo,1,Artifact
51277,konstraksyon,104341686,50045,n,0,gusali o istrukturang naigawa o nabuo,1,Artifact
51278,gusali,102913152,57479,n,0,Malaking bakuran,1,Building
51273,looban,102913152,50040,n,0,Malaking bakuran,1,Building
57381,edipisyo,102913152,57478,n,0,Malaking bakuran,1,Building
51276,habi,103309808,50043,n,0,Matiryales na ginagamit pantahi ng damit,1,Fabric
51275,tela,103309808,50042,n,0,Matiryales na ginagamit pantahi ng damit,1,Fabric
48369,kasangkapan,103309808,50044,n,0,Matiryales na ginagamit pantahi ng damit,1,Fabric
51273,looban,300950592,53091,s,0,malayo sa labas o gilid,1,located
51272,naiinom,107881800,50039,n,0,kahit anong klase ng likido na pwedeng mainom,1,Beverage
51271,pampalamig,107881800,50038,n,0,kahit anong klase ng likido na pwedeng mainom,1,Beverage
51270,inumin,107881800,50037,n,0,kahit anong klase ng likido na pwedeng mainom,1,Beverage
51269,may-buhay,100004475,50036,n,0,isang kalagayan ng pagiging buhay,1,Organism
51268,organismo,100004475,50035,n,0,isang kalagayan ng pagiging buhay,1,Organism
51267,nilalang,100004475,50034,n,0,isang kalagayan ng pagiging buhay,1,Organism
51266,hangganan,108512259,50033,n,0,Dulo o sukdulan ng isang bagay o lugar,1,Region
51265,limitasyon,108512259,50032,n,0,Dulo o sukdulan ng isang bagay o lugar,1,Region
51264,asset,105154517,50031,n,0,"Isang importante na bagay, bagay naghahalaga ng malaki",1,PropertyFn
51263,bihis,102728440,50029,n,0,bagay na isinusuot bilang pantakip sa katawan,1,Clothing
51262,suot,102728440,50028,n,0,bagay na isinusuot bilang pantakip sa katawan,1,Clothing
48286,kasuotan,102728440,46630,n,0,bagay na isinusuot bilang pantakip sa katawan,1,Clothing
48285,damit,102728440,46629,n,0,bagay na isinusuot bilang pantakip sa katawan,1,Clothing
51261,palahayupan,100015388,50027,n,0,Kahit anong may buhay na hindi tao,1,Animal
51260,kinapal,100015388,50026,n,0,Kahit anong may buhay na hindi tao,1,Animal
51259,hayop,100015388,50025,n,0,Kahit anong may buhay na hindi tao,1,Animal
51258,dami,100033615,50024,n,0,Kabuluhang taglay,1,ConstantQuantity
51257,sukat,100033615,50023,n,0,Kabuluhang taglay,1,ConstantQuantity
51256,halaga,100033615,50022,n,0,Kabuluhang taglay,1,ConstantQuantity
61539,takal,100033615,62334,n,0,Kabuluhang taglay,1,ConstantQuantity
51256,halaga,105141683,53166,n,7,kahalagahan ng isang bagay,1,SubjectiveAssessmentAttribute
51256,halaga,113303759,53172,n,21,gastusin sa pagsuhol sa isang tao,1,CurrencyMeasure
53810,presyo,113303759,53171,n,21,gastusin sa pagsuhol sa isang tao,1,CurrencyMeasure
51255,mapagpaniwalain,302272485,50021,a,0,mabilis maloko o malinlang,1,SubjectiveAssessmentAttribute
51254,hilaw,301493897,50019,a,0,"hindi pa husto sa gulang, hindi hinog",1,NonFullyFormed
51254,hilaw,300937186,53244,s,0,kakulangan sa karanasan,1,SubjectiveAssessmentAttribute
53761,bago,300937186,53243,s,0,kakulangan sa karanasan,1,SubjectiveAssessmentAttribute
51253,luntian,300375969,50018,a,0,pareho ng kulay ng sariwang damo,1,Green
51252,berde,300375969,50017,a,0,pareho ng kulay ng sariwang damo,1,Green
51252,berde,104967191,61136,n,7,kulay na berde,1,Green
51251,pindutin,201574766,50016,v,0,pindutin pababa,1,Motion
51250,ibaba,201973932,50015,v,0,bawasan ang presyo,1,Decreasing
51249,palumbayin,201814396,50014,v,0,ibaba ang sigla o dedikasyon o halaga ng isang tao,1,IntentionalPsychologicalProcess
51248,palungkutin,201814396,50013,v,0,ibaba ang sigla o dedikasyon o halaga ng isang tao,1,IntentionalPsychologicalProcess
51247,malupit,301158020,50012,a,0,walang awa,1,SubjectiveAssessmentAttribute
51246,kabuwisitan,110391513,50011,n,0,isang tao na nagpapahirap o nakakainis,1,Human
51245,kirot,113519908,50143,n,0,hindi magandang ang pakiramdam ng isang tao madalas yari sa kamandag ng hayop,1,None
51244,hapdi,113519908,50142,n,0,hindi magandang ang pakiramdam ng isang tao madalas yari sa kamandag ng hayop,1,None
51245,kirot,105724694,50010,n,0,isang pisikal na pandama ng malubhang kahirapan,1,Perception
51244,hapdi,114322699,50007,n,0,isang indikasyon ng pisikal na kasakitan o diperensya,1,Unhappiness
51045,sakit,114322699,50006,n,0,isang indikasyon ng pisikal na kasakitan o diperensya,1,Unhappiness
51243,pagpapakamatay,100222485,50005,n,0,ang pagpatay sa iyong sarili,1,Suicide
51242,pagpapatiwakal,100222485,50004,n,0,ang pagpatay sa iyong sarili,1,Suicide
61540,magpatiwakal,100222485,62335,n,0,ang pagpatay sa iyong sarili,1,Suicide
51241,puntod,103455033,50003,n,0,isang lugar kung saan pwede ilibing ang mga patay (kadalasan sa ilalim ng lupa),1,Tomb
51240,nitso,103455033,50002,n,0,isang lugar kung saan pwede ilibing ang mga patay (kadalasan sa ilalim ng lupa),1,Tomb
51239,kalamlaman,107533097,50001,n,0,pakiramdam ng mapangmuning kalungkutan,1,Unhappiness
51238,trahedya,107314838,50000,n,0,kaganapan na nagreresulta sa kamalasan o kalungkutan,1,SubjectiveAssessmentAttribute
51237,humagok,200005526,49999,v,0,"paghinga ng maingay, lalo na pag pagod",1,Breathing
